Index LeftOp RightOp TensorIndex CosineSimilarity MaxAbsoluteError AccumulatedRelativeError RelativeEuclideanDistance KullbackLeiblerDivergence StandardDeviation
0 IteratorGetNext_2_arg IteratorGetNext_2_arg NaN NaN NaN NaN NaN NaN NaN
1 IteratorGetNext_3_arg IteratorGetNext_3_arg NaN NaN NaN NaN NaN NaN NaN
2 IteratorGetNext_4_arg IteratorGetNext_4_arg NaN NaN NaN NaN NaN NaN NaN
3 IteratorGetNext_5_arg IteratorGetNext_5_arg NaN NaN NaN NaN NaN NaN NaN
4 IteratorGetNext_6_arg IteratorGetNext_6_arg NaN NaN NaN NaN NaN NaN NaN
5 IteratorGetNext_7_arg IteratorGetNext_7_arg NaN NaN NaN NaN NaN NaN NaN
6 IteratorGetNext_0_arg IteratorGetNext_0_arg NaN NaN NaN NaN NaN NaN NaN
7 KeypointNetwork/strided_slice KeypointNetwork/strided_slice NaN NaN NaN NaN NaN NaN NaN
8 trans_Cast_3446 * NaN NaN NaN NaN NaN NaN NaN
9 trans_TransData_3447 * NaN NaN NaN NaN NaN NaN NaN
10 IteratorGetNext_1_arg IteratorGetNext_1_arg NaN NaN NaN NaN NaN NaN NaN
11 KeypointNetwork_1/strided_slice KeypointNetwork_1/strided_slice KeypointNetwork_1/strided_slice:input:0 NaN NaN NaN NaN NaN NaN
11 KeypointNetwork_1/strided_slice KeypointNetwork_1/strided_slice KeypointNetwork_1/strided_slice:output:0 0.567026 1.000000 86472.341407 1.043398 inf (0.055;0.168),(0.058;0.135)
12 trans_Cast_3450 * trans_Cast_3450:input:0 0.567026 1.000000 86472.341407 1.043398 inf (0.055;0.168),(0.058;0.135)
12 trans_Cast_3450 * trans_Cast_3450:output:0 NaN NaN NaN NaN NaN NaN
13 trans_TransData_3451 * NaN NaN NaN NaN NaN NaN NaN
14 atomic_addr_clean1_41 atomic_addr_clean1_41 NaN NaN NaN NaN NaN NaN NaN
15 dynamic_const_4083_1 * NaN NaN NaN NaN NaN NaN NaN
16 dynamic_const_4083_0 * NaN NaN NaN NaN NaN NaN NaN
17 KeypointNetwork_1/Maximum_1/x KeypointNetwork_1/Maximum_1/x NaN NaN NaN NaN NaN NaN NaN
18 global_step global_step NaN NaN NaN NaN NaN NaN NaN
19 KeypointNetwork_1/sub_2/x KeypointNetwork_1/sub_2/x NaN NaN NaN NaN NaN NaN NaN
20 Const_1 Const_1 NaN NaN NaN NaN NaN NaN NaN
21 Reshape/shape Reshape/shape NaN NaN NaN NaN NaN NaN NaN
22 transpose transpose/perm,transpose transpose:input:0 NaN NaN NaN NaN NaN NaN
22 transpose transpose/perm,transpose transpose:output:0 0.997028 1.961354 199.540059 0.077086 inf (-1.729;7.318),(-1.732;7.320)
23 transpose_1 transpose/perm,transpose_1 transpose_1:input:0 NaN NaN NaN NaN NaN NaN
23 transpose_1 transpose/perm,transpose_1 transpose_1:output:0 0.998274 1.872458 195.479698 0.058731 inf (-1.722;7.322),(-1.786;7.322)
24 transpose_2 transpose/perm,transpose_2 transpose_2:input:0 NaN NaN NaN NaN NaN NaN
24 transpose_2 transpose/perm,transpose_2 transpose_2:output:0 0.239509 38.957150 292.303905 1.233146 inf (0.983;7.455),(1.715;7.323)
25 transpose_3 transpose/perm,transpose_3 transpose_3:input:0 NaN NaN NaN NaN NaN NaN
25 transpose_3 transpose/perm,transpose_3 transpose_3:output:0 0.642884 37.806168 106.348509 0.844327 inf (1.060;7.447),(1.325;7.419)
26 MatMul_4 MatMul_4 MatMul_4:input:0 0.239509 38.957150 292.303905 1.233146 inf (0.983;7.455),(1.715;7.323)
26 MatMul_4 MatMul_4 MatMul_4:input:1 0.998274 1.872458 195.479698 0.058731 inf (-1.722;7.322),(-1.786;7.322)
26 MatMul_4 MatMul_4 MatMul_4:output:0 0.160044 46.769714 1117.455004 1.595672 inf (-0.284;9.019),(-0.372;6.372)
27 strided_slice_22 strided_slice_22 strided_slice_22:input:0 0.160044 46.769714 1117.455004 1.595672 inf (-0.284;9.019),(-0.372;6.372)
27 strided_slice_22 strided_slice_22 strided_slice_22:output:0 -0.109007 1.694948 323.719395 1.489300 inf (0.149;0.558),(0.218;0.534)
28 KeypointNetwork/sub/x KeypointNetwork/sub/x NaN NaN NaN NaN NaN NaN NaN
29 KeypointNetwork/sub KeypointNetwork/sub,KeypointNetwork/ToFloat KeypointNetwork/sub:input:0 NaN NaN NaN NaN NaN NaN
29 KeypointNetwork/sub KeypointNetwork/sub,KeypointNetwork/ToFloat KeypointNetwork/sub:input:1 NaN 1.000000 0.000000 0.0 NaN (1.000;0.000),(0.000;0.000)
29 KeypointNetwork/sub KeypointNetwork/sub,KeypointNetwork/ToFloat KeypointNetwork/sub:output:0 NaN NaN NaN NaN NaN NaN
30 ge_default_20201228113719_41_Send_15 * NaN NaN NaN NaN NaN NaN NaN
31 KeypointNetwork/strided_slice/stack_1 KeypointNetwork/strided_slice/stack_1 NaN NaN NaN NaN NaN NaN NaN
32 KeypointNetwork/strided_slice/stack_2 KeypointNetwork/strided_slice/stack_2 NaN NaN NaN NaN NaN NaN NaN
33 KeypointNetwork_1/strided_slice_4/stack_1 KeypointNetwork_1/strided_slice_4/stack_1 NaN NaN NaN NaN NaN NaN NaN
34 KeypointNetwork/strided_slice_4 KeypointNetwork/strided_slice_4 KeypointNetwork/strided_slice_4:input:0 NaN NaN NaN NaN NaN NaN
34 KeypointNetwork/strided_slice_4 KeypointNetwork/strided_slice_4 KeypointNetwork/strided_slice_4:input:1 NaN NaN NaN NaN NaN NaN
34 KeypointNetwork/strided_slice_4 KeypointNetwork/strided_slice_4 KeypointNetwork/strided_slice_4:input:2 NaN NaN NaN NaN NaN NaN
34 KeypointNetwork/strided_slice_4 KeypointNetwork/strided_slice_4 KeypointNetwork/strided_slice_4:input:3 NaN NaN NaN NaN NaN NaN
34 KeypointNetwork/strided_slice_4 KeypointNetwork/strided_slice_4 KeypointNetwork/strided_slice_4:output:0 0.499642 1.000000 21017.455355 0.900957 inf (0.111;0.310),(0.198;0.393)
35 ge_default_20201228113719_41_Send_14 * NaN NaN NaN NaN NaN NaN NaN
36 KeypointNetwork_1/strided_slice_4 KeypointNetwork_1/strided_slice_4 KeypointNetwork_1/strided_slice_4:input:0 NaN NaN NaN NaN NaN NaN
36 KeypointNetwork_1/strided_slice_4 KeypointNetwork_1/strided_slice_4 KeypointNetwork_1/strided_slice_4:input:1 NaN NaN NaN NaN NaN NaN
36 KeypointNetwork_1/strided_slice_4 KeypointNetwork_1/strided_slice_4 KeypointNetwork_1/strided_slice_4:input:2 NaN NaN NaN NaN NaN NaN
36 KeypointNetwork_1/strided_slice_4 KeypointNetwork_1/strided_slice_4 KeypointNetwork_1/strided_slice_4:input:3 NaN NaN NaN NaN NaN NaN
36 KeypointNetwork_1/strided_slice_4 KeypointNetwork_1/strided_slice_4 KeypointNetwork_1/strided_slice_4:output:0 0.628348 1.000000 18209.199305 0.785858 inf (0.110;0.308),(0.200;0.395)
37 ge_default_20201228113719_41_Send_0 * NaN NaN NaN NaN NaN NaN NaN
38 KeypointNetwork/OrientationNetwork/dconv0/weights KeypointNetwork/OrientationNetwork/dconv0/weights NaN NaN NaN NaN NaN NaN NaN
39 KeypointNetwork/OrientationNetwork/dconv0/Conv2D KeypointNetwork/OrientationNetwork/dconv0/Conv2D KeypointNetwork/OrientationNetwork/dconv0/Conv2D:input:0 NaN NaN NaN NaN NaN NaN
39 KeypointNetwork/OrientationNetwork/dconv0/Conv2D KeypointNetwork/OrientationNetwork/dconv0/Conv2D KeypointNetwork/OrientationNetwork/dconv0/Conv2D:input:1 -0.015811 0.256282 2503.182256 1.429500 inf (0.000;0.035),(0.000;0.035)
39 KeypointNetwork/OrientationNetwork/dconv0/Conv2D KeypointNetwork/OrientationNetwork/dconv0/Conv2D KeypointNetwork/OrientationNetwork/dconv0/Conv2D:output:0 0.191783 0.890625 8274301.294437 1.358560 inf (0.004;0.079),(-0.002;0.070)
40 KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D:input:0 NaN NaN NaN NaN NaN NaN
40 KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D:input:1 -0.015811 0.256282 2503.182256 1.429500 inf (0.000;0.035),(0.000;0.035)
40 KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D:output:0 0.240703 0.885812 2960652.737953 1.294548 inf (0.004;0.078),(-0.002;0.071)
41 trans_Cast_3456 * trans_Cast_3456:input:0 0.191783 0.890625 8274301.294437 1.358560 inf (0.004;0.079),(-0.002;0.070)
41 trans_Cast_3456 * trans_Cast_3456:output:0 NaN NaN NaN NaN NaN NaN
42 trans_Cast_3467 * trans_Cast_3467:input:0 0.240703 0.885812 2960652.737953 1.294548 inf (0.004;0.078),(-0.002;0.071)
42 trans_Cast_3467 * trans_Cast_3467:output:0 NaN NaN NaN NaN NaN NaN
43 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/beta KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/beta NaN NaN NaN NaN NaN NaN NaN
44 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_mean KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_mean NaN NaN NaN NaN NaN NaN NaN
45 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_variance KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_variance NaN NaN NaN NaN NaN NaN NaN
46 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_variance,KeypointNetwork/OrientationNetwork/dconv0/Conv2D,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/Const,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_mean,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/beta,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3,KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu:input:0 NaN NaN NaN NaN NaN NaN
46 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_variance,KeypointNetwork/OrientationNetwork/dconv0/Conv2D,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/Const,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_mean,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/beta,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3,KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu:input:1 NaN NaN NaN NaN NaN NaN
46 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_variance,KeypointNetwork/OrientationNetwork/dconv0/Conv2D,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/Const,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_mean,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/beta,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3,KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu:input:2 NaN 0.000998 0.000000 0.0 NaN (0.000;0.000),(0.000;0.000)
46 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_variance,KeypointNetwork/OrientationNetwork/dconv0/Conv2D,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/Const,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_mean,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/beta,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3,KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu:input:3 NaN 0.000173 0.000000 0.0 NaN (0.000;0.000),(0.000;0.000)
46 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_variance,KeypointNetwork/OrientationNetwork/dconv0/Conv2D,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/Const,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_mean,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/beta,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3,KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu:input:4 1.000000 0.001998 0.063333 0.001979 0.663275 (0.998;0.000),(1.000;0.000)
46 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_variance,KeypointNetwork/OrientationNetwork/dconv0/Conv2D,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/Const,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_mean,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/beta,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3,KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu:output:0 0.275565 5.859449 5584522.926592 0.973623 inf (0.012;0.064),(0.257;0.473)
47 KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3KeypointNetwork_1/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_variance,KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/Const,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_mean,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/beta,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3,KeypointNetwork_1/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3KeypointNetwork_1/OrientationNetwork/dconv0/LeakyRelu:input:0 NaN NaN NaN NaN NaN NaN
47 KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3KeypointNetwork_1/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_variance,KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/Const,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_mean,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/beta,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3,KeypointNetwork_1/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3KeypointNetwork_1/OrientationNetwork/dconv0/LeakyRelu:input:1 NaN NaN NaN NaN NaN NaN
