Index LeftOp RightOp TensorIndex CosineSimilarity MaxAbsoluteError AccumulatedRelativeError RelativeEuclideanDistance KullbackLeiblerDivergence StandardDeviation
0 IteratorGetNext_2_arg IteratorGetNext_2_arg NaN NaN NaN NaN NaN NaN NaN
1 IteratorGetNext_3_arg IteratorGetNext_3_arg NaN NaN NaN NaN NaN NaN NaN
2 IteratorGetNext_4_arg IteratorGetNext_4_arg NaN NaN NaN NaN NaN NaN NaN
3 IteratorGetNext_5_arg IteratorGetNext_5_arg NaN NaN NaN NaN NaN NaN NaN
4 IteratorGetNext_6_arg IteratorGetNext_6_arg NaN NaN NaN NaN NaN NaN NaN
5 IteratorGetNext_7_arg IteratorGetNext_7_arg NaN NaN NaN NaN NaN NaN NaN
6 IteratorGetNext_0_arg IteratorGetNext_0_arg NaN NaN NaN NaN NaN NaN NaN
7 KeypointNetwork/strided_slice KeypointNetwork/strided_slice NaN NaN NaN NaN NaN NaN NaN
8 trans_Cast_0 * NaN NaN NaN NaN NaN NaN NaN
9 trans_TransData_1 * NaN NaN NaN NaN NaN NaN NaN
10 IteratorGetNext_1_arg IteratorGetNext_1_arg NaN NaN NaN NaN NaN NaN NaN
11 KeypointNetwork_1/strided_slice KeypointNetwork_1/strided_slice KeypointNetwork_1/strided_slice:input:0 NaN NaN NaN NaN NaN NaN
11 KeypointNetwork_1/strided_slice KeypointNetwork_1/strided_slice KeypointNetwork_1/strided_slice:output:0 1.000000 0.000000 0.000000 0.000000 0.000000 (0.079;0.226),(0.079;0.226)
12 trans_Cast_2165 * trans_Cast_2165:input:0 1.000000 0.000000 0.000000 0.000000 0.000000 (0.079;0.226),(0.079;0.226)
12 trans_Cast_2165 * trans_Cast_2165:output:0 NaN NaN NaN NaN NaN NaN
13 trans_TransData_2166 * NaN NaN NaN NaN NaN NaN NaN
14 atomic_addr_clean0_61 atomic_addr_clean0_61 NaN NaN NaN NaN NaN NaN NaN
15 atomic_addr_clean0_61_0 atomic_addr_clean0_61_0 NaN NaN NaN NaN NaN NaN NaN
16 dynamic_const_816_3 * NaN NaN NaN NaN NaN NaN NaN
17 dynamic_const_816_2 * NaN NaN NaN NaN NaN NaN NaN
18 dynamic_const_816_1 * NaN NaN NaN NaN NaN NaN NaN
19 dynamic_const_816_0 * NaN NaN NaN NaN NaN NaN NaN
20 global_step global_step NaN NaN NaN NaN NaN NaN NaN
21 SwitchDataEdgesByPass_Memcpy_3 SwitchDataEdgesByPass_Memcpy_3 NaN NaN NaN NaN NaN NaN NaN
22 KeypointNetwork/dconv2/weights/Adam_1 KeypointNetwork/dconv2/weights/Adam_1 NaN NaN NaN NaN NaN NaN NaN
23 Const_1 Const_1 NaN NaN NaN NaN NaN NaN NaN
24 Reshape/shape Reshape/shape NaN NaN NaN NaN NaN NaN NaN
25 transpose transpose/perm,transpose transpose:input:0 NaN NaN NaN NaN NaN NaN
25 transpose transpose/perm,transpose transpose:output:0 1.000000 0.000000 0.000000 0.000000 0.000000 (-1.818;7.248),(-1.818;7.248)
26 transpose_1 transpose/perm,transpose_1 transpose_1:input:0 NaN NaN NaN NaN NaN NaN
26 transpose_1 transpose/perm,transpose_1 transpose_1:output:0 1.000000 0.000000 0.000000 0.000000 0.000000 (-1.706;7.275),(-1.706;7.275)
27 transpose_2 transpose/perm,transpose_2 transpose_2:input:0 NaN NaN NaN NaN NaN NaN
27 transpose_2 transpose/perm,transpose_2 transpose_2:output:0 1.000000 0.000000 0.000000 0.000000 0.000000 (-0.297;7.466),(-0.297;7.466)
28 transpose_3 transpose/perm,transpose_3 transpose_3:input:0 NaN NaN NaN NaN NaN NaN
28 transpose_3 transpose/perm,transpose_3 transpose_3:output:0 1.000000 0.000000 0.000000 0.000000 0.000000 (3.374;6.668),(3.374;6.668)
29 MatMul_4 MatMul_4 MatMul_4:input:0 1.000000 0.000000 0.000000 0.000000 0.000000 (-0.297;7.466),(-0.297;7.466)
29 MatMul_4 MatMul_4 MatMul_4:input:1 1.000000 0.000000 0.000000 0.000000 0.000000 (-1.706;7.275),(-1.706;7.275)
29 MatMul_4 MatMul_4 MatMul_4:output:0 1.000000 0.000000 0.000000 0.000000 0.000000 (0.508;10.883),(0.508;10.883)
30 strided_slice_22 strided_slice_22 strided_slice_22:input:0 1.000000 0.000000 0.000000 0.000000 0.000000 (0.508;10.883),(0.508;10.883)
30 strided_slice_22 strided_slice_22 strided_slice_22:output:0 1.000000 0.000000 0.000000 0.000000 0.000000 (0.228;0.530),(0.228;0.530)
31 KeypointNetwork/sub/x KeypointNetwork/sub/x NaN NaN NaN NaN NaN NaN NaN
32 KeypointNetwork/sub KeypointNetwork/sub,KeypointNetwork/ToFloat KeypointNetwork/sub:input:0 NaN NaN NaN NaN NaN NaN
32 KeypointNetwork/sub KeypointNetwork/sub,KeypointNetwork/ToFloat KeypointNetwork/sub:input:1 1.0 0.000000 0.000000 0.0 NaN (0.000;0.000),(0.000;0.000)
32 KeypointNetwork/sub KeypointNetwork/sub,KeypointNetwork/ToFloat KeypointNetwork/sub:output:0 NaN NaN NaN NaN NaN NaN
33 ge_default_20210113100428_61_Send_1 * NaN NaN NaN NaN NaN NaN NaN
34 KeypointNetwork/clip_by_value/Minimum/y KeypointNetwork/clip_by_value/Minimum/y NaN NaN NaN NaN NaN NaN NaN
35 KeypointNetwork/clip_by_value/y KeypointNetwork/clip_by_value/y NaN NaN NaN NaN NaN NaN NaN
36 KeypointNetwork/strided_slice/stack_1 KeypointNetwork/strided_slice/stack_1 NaN NaN NaN NaN NaN NaN NaN
37 KeypointNetwork/strided_slice/stack_2 KeypointNetwork/strided_slice/stack_2 NaN NaN NaN NaN NaN NaN NaN
38 KeypointNetwork/OrientationNetwork/dconv0/weights KeypointNetwork/OrientationNetwork/dconv0/weights NaN NaN NaN NaN NaN NaN NaN
39 trans_Cast_2 * trans_Cast_2:input:0 -0.007631 0.257396 3950.069276 1.399989 inf (0.000;0.034),(0.000;0.035)
39 trans_Cast_2 * trans_Cast_2:output:0 NaN NaN NaN NaN NaN NaN
40 KeypointNetwork/OrientationNetwork/dconv0/Conv2D KeypointNetwork/OrientationNetwork/dconv0/Conv2D KeypointNetwork/OrientationNetwork/dconv0/Conv2D:input:0 NaN NaN NaN NaN NaN NaN
40 KeypointNetwork/OrientationNetwork/dconv0/Conv2D KeypointNetwork/OrientationNetwork/dconv0/Conv2D KeypointNetwork/OrientationNetwork/dconv0/Conv2D:input:1 NaN NaN NaN NaN NaN NaN
40 KeypointNetwork/OrientationNetwork/dconv0/Conv2D KeypointNetwork/OrientationNetwork/dconv0/Conv2D KeypointNetwork/OrientationNetwork/dconv0/Conv2D:output:0 -0.157587 1.377278 607730.287792 1.561982 inf (0.006;0.082),(-0.004;0.078)
41 KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D:input:0 NaN NaN NaN NaN NaN NaN
41 KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D:input:1 NaN NaN NaN NaN NaN NaN
41 KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D KeypointNetwork_1/OrientationNetwork/dconv0/Conv2D:output:0 -0.159320 1.379477 718267.552261 1.562247 inf (0.009;0.101),(-0.005;0.096)
42 trans_Cast_16 * trans_Cast_16:input:0 -0.157587 1.377278 607730.287792 1.561982 inf (0.006;0.082),(-0.004;0.078)
42 trans_Cast_16 * trans_Cast_16:output:0 NaN NaN NaN NaN NaN NaN
43 trans_Cast_13 * trans_Cast_13:input:0 -0.159320 1.379477 718267.552261 1.562247 inf (0.009;0.101),(-0.005;0.096)
43 trans_Cast_13 * trans_Cast_13:output:0 NaN NaN NaN NaN NaN NaN
44 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 NaN NaN NaN NaN NaN NaN NaN
45 KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 NaN NaN NaN NaN NaN NaN NaN
46 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/beta KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/beta NaN NaN NaN NaN NaN NaN NaN
47 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_mean KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_mean NaN NaN NaN NaN NaN NaN NaN
48 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_variance KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/moving_variance NaN NaN NaN NaN NaN NaN NaN
49 KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu:input:0 NaN NaN NaN NaN NaN NaN
49 KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork/OrientationNetwork/dconv0/LeakyRelu:output:0 0.253113 10.173921 6906553.294734 1.356667 inf (0.193;0.626),(0.186;0.511)
50 KeypointNetwork_1/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork_1/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork_1/OrientationNetwork/dconv0/LeakyRelu:input:0 NaN NaN NaN NaN NaN NaN
50 KeypointNetwork_1/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork_1/OrientationNetwork/dconv0/LeakyRelu KeypointNetwork_1/OrientationNetwork/dconv0/LeakyRelu:output:0 0.258403 8.582199 5495972.866394 1.339612 inf (0.221;0.634),(0.213;0.524)
51 trans_Cast_2112 * trans_Cast_2112:input:0 0.253113 10.173921 6906553.294734 1.356667 inf (0.193;0.626),(0.186;0.511)
51 trans_Cast_2112 * trans_Cast_2112:output:0 NaN NaN NaN NaN NaN NaN
52 trans_Cast_2121 * trans_Cast_2121:input:0 0.258403 8.582199 5495972.866394 1.339612 inf (0.221;0.634),(0.213;0.524)
52 trans_Cast_2121 * trans_Cast_2121:output:0 NaN NaN NaN NaN NaN NaN
53 KeypointNetwork/OrientationNetwork/dconv1/weights KeypointNetwork/OrientationNetwork/dconv1/weights NaN NaN NaN NaN NaN NaN NaN
54 trans_Cast_2116 * trans_Cast_2116:input:0 -0.011858 0.203284 76451.043901 1.421780 inf (0.000;0.059),(0.000;0.059)
54 trans_Cast_2116 * trans_Cast_2116:output:0 NaN NaN NaN NaN NaN NaN
55 KeypointNetwork/OrientationNetwork/dconv1/Conv2D KeypointNetwork/OrientationNetwork/dconv1/Conv2D KeypointNetwork/OrientationNetwork/dconv1/Conv2D:input:0 NaN NaN NaN NaN NaN NaN
55 KeypointNetwork/OrientationNetwork/dconv1/Conv2D KeypointNetwork/OrientationNetwork/dconv1/Conv2D KeypointNetwork/OrientationNetwork/dconv1/Conv2D:input:1 NaN NaN NaN NaN NaN NaN
55 KeypointNetwork/OrientationNetwork/dconv1/Conv2D KeypointNetwork/OrientationNetwork/dconv1/Conv2D KeypointNetwork/OrientationNetwork/dconv1/Conv2D:output:0 -0.014748 8.903051 2129388.853759 1.528900 inf (0.039;0.633),(-0.024;0.555)
56 KeypointNetwork_1/OrientationNetwork/dconv1/Conv2D KeypointNetwork_1/OrientationNetwork/dconv1/Conv2D KeypointNetwork_1/OrientationNetwork/dconv1/Conv2D:input:0 NaN NaN NaN NaN NaN NaN
56 KeypointNetwork_1/OrientationNetwork/dconv1/Conv2D KeypointNetwork_1/OrientationNetwork/dconv1/Conv2D KeypointNetwork_1/OrientationNetwork/dconv1/Conv2D:input:1 NaN NaN NaN NaN NaN NaN
56 KeypointNetwork_1/OrientationNetwork/dconv1/Conv2D KeypointNetwork_1/OrientationNetwork/dconv1/Conv2D KeypointNetwork_1/OrientationNetwork/dconv1/Conv2D:output:0 -0.029890 7.703326 1665800.859708 1.546713 inf (0.044;0.653),(-0.027;0.568)
57 trans_Cast_2092 * trans_Cast_2092:input:0 -0.014748 8.903051 2129388.853759 1.528900 inf (0.039;0.633),(-0.024;0.555)
57 trans_Cast_2092 * trans_Cast_2092:output:0 NaN NaN NaN NaN NaN NaN
58 trans_Cast_2097 * trans_Cast_2097:input:0 -0.029890 7.703326 1665800.859708 1.546713 inf (0.044;0.653),(-0.027;0.568)
58 trans_Cast_2097 * trans_Cast_2097:output:0 NaN NaN NaN NaN NaN NaN
59 KeypointNetwork/OrientationNetwork/dconv1/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork/OrientationNetwork/dconv1/BatchNorm/FusedBatchNormV3_Update KeypointNetwork/OrientationNetwork/dconv1/BatchNorm/AssignMovingAvg,KeypointNetwork/OrientationNetwork/dconv1/BatchNorm/AssignMovingAvg_1,KeypointNetwork/OrientationNetwork/dconv1/BatchNorm/AssignMovingAvg/mul,KeypointNetwork/OrientationNetwork/dconv1/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork/OrientationNetwork/dconv1/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork/OrientationNetwork/dconv1/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork/OrientationNetwork/dconv1/BatchNorm/FusedBatchNormV3 NaN NaN NaN NaN NaN NaN NaN
60 KeypointNetwork_1/OrientationNetwork/dconv1/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork_1/OrientationNetwork/dconv1/BatchNorm/FusedBatchNormV3_Update KeypointNetwork_1/OrientationNetwork/dconv1/BatchNorm/AssignMovingAvg,KeypointNetwork_1/OrientationNetwork/dconv1/BatchNorm/AssignMovingAvg_1,KeypointNetwork_1/OrientationNetwork/dconv1/BatchNorm/AssignMovingAvg/mul,KeypointNetwork_1/OrientationNetwork/dconv1/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork_1/OrientationNetwork/dconv1/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork_1/OrientationNetwork/dconv1/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork_1/OrientationNetwork/dconv1/BatchNorm/FusedBatchNormV3 NaN NaN NaN NaN NaN NaN NaN
61 KeypointNetwork/OrientationNetwork/dconv1/BatchNorm/beta KeypointNetwork/OrientationNetwork/dconv1/BatchNorm/beta NaN NaN NaN NaN NaN NaN NaN
62 KeypointNetwork/OrientationNetwork/dconv1/BatchNorm/moving_mean KeypointNetwork/OrientationNetwork/dconv1/BatchNorm/moving_mean NaN NaN NaN NaN NaN NaN NaN
63 KeypointNetwork/OrientationNetwork/dconv1/BatchNorm/moving_variance KeypointNetwork/OrientationNetwork/dconv1/BatchNorm/moving_variance NaN NaN NaN NaN NaN NaN NaN
64 KeypointNetwork/OrientationNetwork/dconv1/LeakyRelu KeypointNetwork/OrientationNetwork/dconv1/LeakyRelu KeypointNetwork/OrientationNetwork/dconv1/LeakyRelu:input:0 NaN NaN NaN NaN NaN NaN
